"ID","POS","term","category","appliesTo","definition","category2","dataSource"
"54","N","aggregate_fruit","structure","fruit","Compound and derived from the two or more simple, superior ovaries of a single apocarpous flower; the ovaries connate, coherent, or contiguous in the fruit, the whole with or without accessory tissue.","nominative",
"55","N","akene","structure","fruit","See achene.","nominative",
"56","N","ala","structure",,"Any elongate, relatively thin protrusion or appendage.","STRUCTURE",
"57","N","alae","structure",,"Any elongate, relatively thin protrusion or appendage.","STRUCTURE",
"59","N","alae","structure",,"One of the two lateral petals in a papilionaceous corolla.","STRUCTURE",
"61","A","alate","architecture","pollen grain","Having lateral lobes or enations that resemble sacs or somewhat inflated wings.","architecture",
"62","N","albumen","structure",,"A genetically triploid (3n chromosomes) nutritive tissue in a seed; containing stored carbohydrate and/or oil utilized by the embryo prior to and especially upon germination; derived from fusion of the two polar nuclei (n + n chromosomes) of the embryo sa","STRUCTURE / SUBSTANCE",
"63","A","alete","architecture","spore","Lacking a tetrad scar (surficial ridge or angle resulting from coherence with others produced from the same spore mother cell).","architecture",
"64","A","allagostemonous","architecture","flower, androecium","Having the stamens inserted alternately upon petals and the receptacle.","architecture",
"65","A","allogamous","reproduction","taxon","Having fertilization regularly involving gametes derived from different plants.","reproduction",
"66","A","allomictic","reproduction","taxon","Having fertilization regularly involving gametes derived from different plants.","reproduction",
"67","A","almondy","odor",,"Pungently fruity like almonds, due to the presence of hydrocyanin or a closely related compound.","odor",
"68","A","alternate","arrangement",,"Inserted singly along the axis, each at a different level and each diverging on a different radius than the ones next above and below.","arrangement",
"70","A","alveolate","relief",,"Having generally uniform, regularly and closely disposed, transversely polygonal depressions overall, the pattern resembling the external aspect of a honeycomb.","relief",
"71","N","ament","structure-infl","inflorescence","Elongate, more or less flexible and spike-like, often unisexual, the central axis bearing numerous diminutive flowers inserted either singly or in cymules, the pedicels or secondary axes subtended by small, paleaceous bracts or scales, the whole often dec","nominative",
"72","A","amentate","architecture","inflorescence","Comprising one or more aments.","architecture",
"73","A","amphibious","habit","plant","Able to live in either aquatic or terrestrial habitats; e.g., adapted to periodic inundation on floodplains.","arrangement",
"74","A","amphicarpic","architecture","plant","Producing two morphologically or phenologically different types of fruit.","arrangement",
"75","A","amphicarpous","architecture","plant","Producing two morphologically or phenologically different types of fruit.","arrangement",
"76","A","amphimictic","reproduction","taxon, plant","Reproducing sexually.","arrangement",
"77","A","amphistomic","architecture","foliaceous structure","Having stomata on both the adaxial and abaxial surfaces.","arrangement",
"78","A","amphistomatic","architecture","foliaceous structure","Having stomata on both the adaxial and abaxial surfaces.","arrangement",
"79","A","amphistomatous","architecture","foliaceous structure","Having stomata on both the adaxial and abaxial surfaces.","arrangement",
"80","A","amphitropous","orientation","ovule","Having the funiculus adnate to the proximal portion of the (straight) ovule, the latter lying and the micropyle facing parallel to the ovary wall (placenta).","arrangement",
"82","A","amplexicaulous","architecture","foliaceous structure","Having two distinct basal lobes that partially or fully encircle the bearing axis.  See also connate-perfoliate, perfoliate.","arrangement",
"83","A","amplexicaul","architecture","foliaceous structure","Having two distinct basal lobes that partially or fully encircle the bearing axis.  See also connate-perfoliate, perfoliate.","arrangement",
"84","N","ampulla","structure",,"A small, membranous, hollow, flask-shaped, insectivorous structure borne on a submerged leaf; esp. in Lentibulariaceae.","arrangement",
"85","N","ampullae","structure",,"A small, membranous, hollow, flask-shaped, insectivorous structure borne on a submerged leaf; esp. in Lentibulariaceae.","arrangement",
"86","A","ampulliform","shape",,"Generally circular in cross-section, broadest at or below the middle, approximately globose below that and constricted above to a relatively narrow neck; like a flask.","arrangement",
"87","A","anadromous","venation",,"Having the first lateral vein in each pinna or primary segment of the frond arise from its midvein on the side toward the apex of the frond, the pinnule or secondary segment that it leads to often disproportionately larger than the next distal ones.","arrangement",
"88","A","anastomosing","architecture","tertiary and higher-order laminar veins, excl. veinlets","Interconnecting more or less regularly.","arrangement",
"89","A","anatropous","orientation","ovule","Having the funiculus distally recurved and the (straight) ovule lying beside and parallel to the proximal portion of the funiculus, to which it may be adnate or adherent, the micropyle facing the ovary wall (placenta).","arrangement",
"90","A","anchoring","habit","trichome","Serving as a means of attachment to some external support.","habit",
"91","A","androdioecious","reproduction","taxon","Having some plants with only bisexual flowers and others only staminate ones.","arrangement",
"92","N","androecial_tube","structure",,"The tubular portion of an androecium in which the component structures have fused with one another laterally over part or all their lengths.","arrangement",
"93","N","androecium","structure",,"The stamen(s), staminode(s), if any, and their ontogenetically associated structure(s), if any, of a single flower, taken collectively.","arrangement",
"94","N","androecia","structure",,"The stamen(s), staminode(s), if any, and their ontogenetically associated structure(s), if any, of a single flower, taken collectively.","arrangement",
"95","A","androgynecandrous","reproduction","taxon","Monoecious, each inflorescence having distal and proximal sectors with only staminate flowers and between them a central sector with only pistillate ones.","arrangement",
"96","N","androgynophore","structure",,"A stalk that rises above the level of perianth insertion and bears the free portions of both androecium and gynoecium from its summit; as in Passifloraceae.","arrangement",
"97","A","androgynous","reproduction","taxon","Monoecious, each inflorescence having a distal sector with only staminate flowers and a proximal sector with only pistillate ones.","arrangement",
"98","A","andromonoecious","reproduction","taxon","Having all plants with both bisexual flowers and staminate ones.","arrangement",
"99","A","andropetalous","architecture","flower, androecium","Having petaloid, sterile stamens.","arrangement",
"100","A","andropetalous","derivation","flower, perianth, corolla","Having some or all petals derived from stamens.","arrangement",
"101","N","androphore","structure",,"A stalk or tube that rises above the level of perianth insertion and bears the distinct portions of the androecium  from its summit; as in Malvaceae, where the androphore is a tube formed by connation of the filaments.","arrangement",
"102","A","_androus","architecture","flower, floret, androecium","Having the number of stamens indicated by the prefix; as in enneandrous, hexandrous, monandrous.","architecture",
"103","A","anemophilous","reproduction","plant, strobilus, flower","Having the pollen normally transported between strobili or flowers by air currents.","reproduction",
"104","A","angled","shape",,"Having sides that meet at acute or obtuse angles.","shape",
"105","A","_angled","shape",,"Elongate with the number of longitudinal angles indicated by the prefix, the intervening sides transversely flat or curved; as in four-angled.  See also ...angular (...gonal), deltoid, obdeltoid, triquetrous.","shape",
"106","A","angular","shape",,"Having sides that meet at acute or obtuse angles.","shape",
"107","A","angular","relief",,,"shape",
"#","A","_angular","arrangement","bundle scars","Forming a figure with the number of sides indicated by the prefix.","shape",
"108","A","_angular","shape",,"Having distinct, flat or curved sides of the number indicated by the prefix; as in hexangular, triangular.  See also ...angled (...gonous), deltate.","shape",
"109","A","anisocytic","architecture","stomate","Having three subsidiary cells, one distinctly smaller than the others.","architecture",
"110","A","anisopetalous","architecture","flower, perianth, corolla","Having petals unequal in size and/or shape.","architecture",
"111","A","anisophyllous","architecture","plant, axis","Heterophyllous and bearing leaves of two or more distinct sizes or shapes on the same plants.","architecture",
"112","A","anisosepalous","architecture","flower, perianth, calyx","Having sepals unequal in size and/or shape.","architecture",
"113","A","anisostemonous","architecture","flower, androecium","Having stamens unequal in size and/or shape.","architecture",
"114","A","annual","duration","plant, stem","Normally living one year or less; growing, reproducing, and dying within one cycle of seasons.","duration",
"115","A","annual","life_style","plant","Of annual duration.","duration",
"116","A","annular","shape",,"More or less evenly tubular in a closed circle; like a ring or doughnut.","shape",
"119","N","annulus","structure",,"A row of protruding specialized sporangial wall cells that extends upward from the base of the sporangium and over its apex, thus forming an incomplete circumferential ring; esp. in Polypodiophyta.  The inner and radial walls of the annular cells are mark","STRUCTURE",
"120","N","annuli","structure",,"A row of protruding specialized sporangial wall cells that extends upward from the base of the sporangium and over its apex, thus forming an incomplete circumferential ring; esp. in Polypodiophyta.  The inner and radial walls of the annular cells are mark","STRUCTURE",
"121","A","anomocytic","architecture","stomate","Lacking subsidiary cells.","architecture",
"122","N","anthela","structure-infl","inflorescence","A cyme with the main axis markedly shorter than the lateral axes, appearing generally paniculate when compound; esp. in Juncaceae.","nominative",
"123","N","anthelae","structure-infl","inflorescence","A cyme with the main axis markedly shorter than the lateral axes, appearing generally paniculate when compound; esp. in Juncaceae.","nominative",
"124","A","anthelate","architecture","inflorescence","Comprising one or more anthelae; esp. in Juncaceae.","architecture",
"125","N","anther","structure",,,"STRUCTURE",
"125","N","anther-cell","structure",,"The fertile, loculate, pollen-bearing portion of a stamen, containing one, two, or four thecae (pollen sacs), when that portion is differentiated from and borne at the summit of a narrower supporting stalk (filament), or when such differentiation is deeme","STRUCTURE",
"126","A","anther-bearing","architecture","floral structure","Bearing anthers.","architecture",
"127","N","antheridium","structure",,"A male gametangium; a multicellular fertile organ of a mature gametophyte within which male gametes (antherozoids, spermatozoids) are produced and from which they are discharged, in some taxa forcibly, through a pore.  Technically present but highly reduc","STRUCTURE",
"128","N","antheridia","structure",,"A male gametangium; a multicellular fertile organ of a mature gametophyte within which male gametes (antherozoids, spermatozoids) are produced and from which they are discharged, in some taxa forcibly, through a pore.  Technically present but highly reduc","STRUCTURE",
"129","A","antheriferous","architecture","floral structure","Bearing anthers.","architecture",
"130","N","antherozoid","structure",,"A motile male gamete, produced within an antheridium.","STRUCTURE",
"131","N","anthocarp","structure","fruit","Simple or compound and including some tissue of non-ovarian origin (accessory tissue).","nominative",
"132","A","anticlinal","orientation",,"Perpendicular to some given plane of reference; applied especially to the plane of cell division when it is oriented at right angles to the generalized plane of the structural surface.","orientation",
"#","A","antipetalous","insertion","equivalent floral structures","Each inserted directly above or below a petal.  In place of this term, the phrase 'opposite the petals' is often used, but that contradicts the sense of opposite as otherwise employed (arrangement of lateral structures along an axis) and should be avoided","position",
"134","A","antipetalous","position","equivalent floral structures","Each inserted directly above or below a petal.  In place of this term, the phrase 'opposite the petals' is often used, but that contradicts the sense of opposite as otherwise employed (arrangement of lateral structures along an axis) and should be avoided","position",
"#","A","antisepalous","insertion","equivalent floral structures","Each inserted directly above or below a sepal.  In place of this term, the phrase 'opposite the sepals' is often used, but that contradicts the sense of opposite as otherwise employed (arrangement of lateral structures along an axis) and should be avoided","position",
"136","A","antisepalous","position","equivalent floral structures","Each inserted directly above or below a sepal.  In place of this term, the phrase 'opposite the sepals' is often used, but that contradicts the sense of opposite as otherwise employed (arrangement of lateral structures along an axis) and should be avoided","position",
"137","A","antrorse","orientation",,"Directed forward or upward, toward the distal end of the context of reference, parallel or at an acute angle to the bearing structure.","orientation",
"138","A","apetalous","architecture","flower, perianth","Lacking petals.","architecture",
"#","N","apex","structure",,"Configuration of the uppermost, distal, or terminal portion of a structure, its extent determined somewhat subjectively in relation to the shape of the structure as a whole.  The concept of apex varies from one descriptive context to another, since the ap","shape",
"139","N","tip","structure",,"Configuration of the uppermost, distal, or terminal portion of a structure, its extent determined somewhat subjectively in relation to the shape of the structure as a whole.  The concept of apex varies from one descriptive context to another, since the ap","shape",
"140","N","apices","structure",,"Configuration of the uppermost, distal, or terminal portion of a structure, its extent determined somewhat subjectively in relation to the shape of the structure as a whole.  The concept of apex varies from one descriptive context to another, since the ap","CHARACTER",
"141","A","aphyllous","architecture","plant, axis","Not bearing leaves.","architecture",
"#","A","apical","insertion",,"At or very near the developmental end or tip (apex) of a structure.","position",
"143","A","apical","position",,"At or very near the developmental end or tip (apex) of a structure.","position",
"144","A","apiculate","shape","apex","Terminating abruptly in a short, slender, angular tip that is not notably harder or stiffer than the main body of the structure.  See also mucronate, mucronulate.","shape",
"146","N","apicula","structure",,"A short, slender, angular tip that is not notably harder or stiffer than the main body of the bearing structure.  See also mucro.","STRUCTURE",
"147","N","apiculum","structure",,"The apex of a connective, when prolonged above the union of the anthers.","STRUCTURE",
"148","N","apicula","structure",,"The apex of a connective, when prolonged above the union of the anthers.","STRUCTURE",
"149","A","apocarpous","architecture","flower, gynoecium","Having two or more simple pistils (carpels).","architecture",
"150","A","apogamous","reproduction","taxon, plant","Producing new sporophytes from the gametophytes asexually, without intervening fertilization (or gametes).","reproduction",
"151","A","apolar","architecture","pollen grain, spore","Lacking morphologically evident polarity.","architecture",
"152","A","apomictic","reproduction","taxon, plant","Producing new plants by means not involving meiosis or fertilization.","reproduction",
"153","A","apopetalous","architecture","flower, perianth, corolla","Having two or more distinct petals; having the petals unfused.","architecture",
"154","A","aposepalous","architecture","flower, perianth, calyx","Having two or more distinct sepals; having the sepals unfused.","architecture",
"155","A","aposporous","reproduction","taxon, plant","Producing new gametophytes from the sporophytes asexually, without intervening meiosis (or spores).","reproduction",
"156","A","apostemonous","architecture","flower, androecium","Having two or more distinct stamens; having the stamens unfused.","architecture",
"157","A","apotropous","orientation","ovule","Anatropous but the whole recurved such that the raphe (adnate portion of the funiculus) faces the ovary wall (placenta) and the ovule is parallel to it, the micropyle facing the free basal portion of the funiculus.","orientation",
"158","N","appendage","FEATURE",,"Any subordinate structure ontogenetically derived from and associated with a given organ or part.","STRUCTURE",
"159","A","appressed","orientation","lateral structure","Angled at or near the base and closely flattened against the surface of the bearing structure, thus more or less parallel to it.","orientation",
"160","A","approximate","arrangement",,"Disposed relatively near to one another.","arrangement",
"161","A","aquatic","habit","plant","Growing in water.","habit",
"162","A","arachnoid","pubescence",,"Of fairly sparse, fine, white, loosely tangled, capillate trichomes.","pubescence",
"163","A","arboreous","habit","plant","Having the character of a tree.  See also arborescent, bushy, frutescent, fruticose, subshrubby, suffrutescent, suffruticose, woody-clumping.","habit",
"164","A","arborescent","habit","plant","Developing the character of a tree.  See also arboreous, bushy, frutescent, fruticose, subshrubby, suffrutescent, suffruticose, woody-clumping.","habit",
"165","N","archegonium","structure",,"A female gametangium; a multicellular fertile organ of a mature gametophyte within which female gametes (eggs, ova) are produced and fertilized; having a broad, bulbous base and a narrower distal neck.  Technically present but highly reduced and of no des","STRUCTURE",
"166","N","archegonia","structure",,"A female gametangium; a multicellular fertile organ of a mature gametophyte within which female gametes (eggs, ova) are produced and fertilized; having a broad, bulbous base and a narrower distal neck.  Technically present but highly reduced and of no des","STRUCTURE",
"167","A","arching","orientation",,"Curving backward or downward.","orientation",
"168","N","architecture","CHARACTER",,"Composite structural configuration as to type, orientation, symmetry, insertion, position, fusion, presence, number, relative size, shape, texture, differentiation, and/or derivation of components and features.  Overlaps conceptually with habit.","CHARACTER",
"169","A","arcuate","course",,"Curving more or less regularly in one direction.","shape",
"170","A","arcuate","shape",,"Elongate and more or less regularly curved from one end to the other, one side convex, the opposite concave.","shape",
"171","N","areola","structure",,"Any distinctive surficial discontinuity of generally circular outline, whether concave, flush, or convex; when protuberant, sometimes bearing trichomes or spines, as in some Cactaceae.  This term is used only when such entities are deemed structurally dis","STRUCTURE",
"172","N","areolae","structure",,"Any distinctive surficial discontinuity of generally circular outline, whether concave, flush, or convex; when protuberant, sometimes bearing trichomes or spines, as in some Cactaceae.  This term is used only when such entities are deemed structurally dis","STRUCTURE",
"173","N","areola","structure","foliaceous structure","Any distinguishable laminar portion bounded on all sides by anastomosing veins and not traversed or dissected by any vasculature other than veinlets.","STRUCTURE",
"174","N","areolae","structure","foliaceous structure","Any distinguishable laminar portion bounded on all sides by anastomosing veins and not traversed or dissected by any vasculature other than veinlets.","STRUCTURE",
"175","A","areolate","relief",,"Having numerous, small, irregularly disposed, transversely angular, shallow depressions or low protrusions overall.","relief",
"176","N","areole","structure",,"Any distinctive surficial discontinuity of generally circular outline, whether concave, flush, or convex; when protuberant, sometimes bearing trichomes or spines, as in some Cactaceae.  This term is used only when such entities are deemed structurally dis","STRUCTURE",
"177","N","areole","structure","foliaceous structure","Any distinguishable laminar portion bounded on all sides by anastomosing veins and not traversed or dissected by any vasculature other than veinlets.","STRUCTURE",
"179","N","aril","structure",,"An appendicular structure that wholly or partly envelops a seed and is an outgrowth from the funicle or raphe, and thus is ontogenetically derived from the placenta; usually fleshy or pulpy, sometimes spongy or tufted-capillate, often brightly colored.","STRUCTURE",
"180","A","arillate","architecture","seed","Having an aril.","architecture",
"181","N","arillode","structure",,"A 'false' aril; an appendicular structure that wholly or partly envelops a seed and is produced from or a modification of the outer integument or (in some Pinophyta) a subtending involucre, but not from the funicle or raphe, and thus is not ontogeneticall","STRUCTURE",
"182","N","arillus","structure",,"An appendicular structure that wholly or partly envelops a seed and is an outgrowth from the funicle or raphe, and thus is ontogenetically derived from the placenta; usually fleshy or pulpy, sometimes spongy or tufted-capillate, often brightly colored.","STRUCTURE",
"183","N","arilli","structure",,"An appendicular structure that wholly or partly envelops a seed and is an outgrowth from the funicle or raphe, and thus is ontogenetically derived from the placenta; usually fleshy or pulpy, sometimes spongy or tufted-capillate, often brightly colored.","STRUCTURE",
"184","N","arista","structure",,"A slender, more or less straight and stiff, fine-pointed, terminal or subterminal appendage or prolongation, sometimes a continuation of the bearing structure's central primary vein, as on a glume, lemma, or palea in Poaceae (Gramineae).","STRUCTURE",
"185","N","aristae","structure",,"A slender, more or less straight and stiff, fine-pointed, terminal or subterminal appendage or prolongation, sometimes a continuation of the bearing structure's central primary vein, as on a glume, lemma, or palea in Poaceae (Gramineae).","STRUCTURE",
"186","A","aristate","shape",,"Bearing one or more aristae (awns, bristles, setae).","shape",
"188","A","aromatic","odor",,"Having a distinct odor; usually restricted to pleasant odors.","odor",
"189","N","arrangement","CHARACTER",,"Disposition of equivalent structures with respect to one another (positions/insertions and/or orientations, regarded collectively) within some explicit or implicit standard context.  Overlaps conceptually with habit, insertion, orientation, position, and","CHARACTER",
"191","A","arrowhead-shaped","shape",,"Generally triangular, tapering gradually from the base to an acute apex, the base with a relatively large, acute, retrorse lobe to either side; like the outline of the broad lateral face of an arrowhead.","shape",
"192","A","articulate","architecture",,"Elongate with one or more distinct, relatively narrow zones of demarcation between adjacent main portions of the whole, these articulations (joints) often thicker and sometimes sites of eventual abscission.","architecture",
"193","A","articulated","architecture",,"Elongate with one or more distinct, relatively narrow zones of demarcation between adjacent main portions of the whole, these articulations (joints) often thicker and sometimes sites of eventual abscission.","architecture",
"194","N","articulation","structure",,"A distinct, relatively narrow zone of demarcation between adjacent main portions of an elongate structure, often thicker than the rest of the structure and sometimes a site of eventual abscission.","STRUCTURE",
"195","A","ascending","orientation","lateral structure","Spreading at the base and then curving upward or forward, the distal portion more or less parallel to the bearing structure.","orientation",
"196","A","ascidiate","architecture","leaf","Having an ascidiform (pitcher-shaped) blade; esp. in Nepenthaceae, Sarraceniaceae.","architecture",
"198","A","ascidiform","shape",,"Having a more or less tubular, radially or bilaterally symmetrical body closed at the base and broadening toward a more or less open apex sometimes lidded or overarched by a prolongation of one side; like a pitcher.","shape",
"199","N","ascidium","structure",,"An ascidiform (pitcher-shaped) leaf blade, sometimes operculate (lidded), usually carnivorous; esp. in Nepenthaceae, Sarraceniaceae.","STRUCTURE",
"200","N","ascidia","structure",,"An ascidiform (pitcher-shaped) leaf blade, sometimes operculate (lidded), usually carnivorous; esp. in Nepenthaceae, Sarraceniaceae.","STRUCTURE",
"201","A","asepalous","architecture","flower, perianth","Lacking sepals.","architecture",
"202","A","aseptate","architecture",,"Lacking internal walls or partitions (septae).","architecture",
"203","A","asexual","reproduction","taxon, plant","Producing new plants by means not involving meiosis or fertilization.","reproduction",
"204","A","assurgent","orientation","lateral structure","Spreading at the base and then curving upward or forward, the distal portion more or less parallel to the bearing structure.","orientation",
"205","A","astomatiferous","architecture",,"Lacking stomates in the epidermis.","architecture",
"#","A","asymmetric","architecture",,"Not divisible into essentially equal halves along any line or plane.","shape",
"207","A","asymmetrical","architecture",,"Not divisible into essentially equal halves along any line or plane.","architecture",
"208","A","asymmetric","shape",,"Not divisible into essentially equal halves along any line or plane.","shape",
"208","A","asymmetric","shape","base","Not divisible into essentially equal halves along any line or plane.","shape",
"209","A","asymmetrical","shape",,"Not divisible into essentially equal halves along any line or plane.","shape",
"209","A","asymmetrical","shape","base","Not divisible into essentially equal halves along any line or plane.","shape",
"214","A","atropous","orientation","ovule","Having the (straight) ovule sessile or funiculate and divaricate, the micropyle facing away from the ovary wall (placenta).","orientation",
"215","A","attenuate","shape","base","Gradually diminishing in width or diameter toward the proximal end, the sides longitudinally concave.  Corresponds with acuminate for apex shape.","shape","q"
"215","A","attenuate","shape","apex","Gradually diminishing in width or diameter toward the proximal end, the sides longitudinally concave.  Corresponds with acuminate for apex shape.","shape","q"
"#","A","attenuate","shape",,"Gradually diminishing in breadth or diameter from one end to the other.","shape","q"
"218","N","auricle","structure",,"A small, rounded, lateral lobe at the base of a laminar structure, lying in more or less the same plane as the remainder of the lamina.","STRUCTURE",
"219","A","auriculate","shape","base","Having two small, rounded, lateral lobes, one to either side, that lie in more or less the same plane as the remainder of the lamina.","shape",
"220","A","auriform","shape",,"Resembling a mammalian outer ear.","shape",
"221","A","autogamous","reproduction","taxon","Having fertilization regularly involving gametes derived from the same plant.","reproduction",
"222","A","automictic","reproduction","taxon","Having fertilization regularly involving gametes derived from the same plant.","reproduction",
"223","A","autotrophic","nutrition","plant","Independent of other organisms for its nourishment, itself synthesizing all essential substances not directly available from the non-living environment.","nutrition",
"225","A","awl-shaped","shape",,"Slender, essentially terete, and straight, gradually attenuate from a relatively narrow base to a very narrow, blunt to angular apex.","shape",
"226","N","awn","structure",,"A slender, more or less straight and stiff, fine-pointed, terminal or subterminal appendage or prolongation, sometimes a continuation of the bearing structure's central primary vein, as on a glume, lemma, or palea in Poaceae (Gramineae).","STRUCTURE",
"227","A","awned","shape",,"Bearing one or more awns (aristae, bristles, setae).","shape",
"228","A","axe-shaped","shape",,"Elongate, basally terete, becoming strongly compressed toward an abruptly and unilaterally broader apex; like an axe (handle plus head).","shape",
